mention_id,sentence_id,entity type,entity,doc_id_x,sentence_number,doc_name,doc_id_y,type,actor_id_type,actor_name,new_actor_type,actor,abbreviation,country_based,iso3c,correct?,notes
167,1/106,GPE,Afghanistan,1,106,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
168,1/108,GPE,Afghanistan,1,108,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
169,1/109,ORG,Afghan Government,1,109,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
170,1/109,ORG,EUROMINES International Investors Forum,1,109,848,1,mentioned in agt text,0,,,,,,,,
171,1/109,GPE,Brussels,1,109,848,1,mentioned in agt text,0,,,,,,,,
172,1/111,GPE,Afghanistan,1,111,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
173,1/113,GPE,Afghanistan,1,113,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
174,1/114,GPE,Afghanistan,1,114,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
175,1/116,ORG,“ Istanbul Conference,1,116,848,1,mentioned in agt text,0,,,,,,,,
176,1/116,GPE,Afghanistan,1,116,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
177,1/116,LOC,Asia,1,116,848,1,mentioned in agt text,0,,,,,,,,
178,1/117,LOC,Asia,1,117,848,1,mentioned in agt text,0,,,,,,,,
179,1/118,GPE,Afghanistan,1,118,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
180,1/118,ORG,follow‐up Ministerial Conference,1,118,848,1,mentioned in agt text,0,,,,,,,0,Not an org
181,1/118,GPE,Kabul,1,118,848,1,mentioned in agt text,0,,,,,,,,
182,1/120,GPE,Afghanistan,1,120,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
183,1/120,LOC,South Asia,1,120,848,1,mentioned in agt text,0,,,,,,,,
184,1/120,LOC,Central Asia,1,120,848,1,mentioned in agt text,0,,,,,,,,
185,1/120,GPE,Eurasia,1,120,848,1,mentioned in agt text,0,,,,,,,,
186,1/120,LOC,Middle East,1,120,848,1,mentioned in agt text,0,,,,,,,,
187,1/121,GPE,Afghanistan,1,121,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
188,1/122,ORG,CASA‐1000,1,122,848,1,mentioned in agt text,0,,,,,,,0,Not an org
189,1/123,GPE,Republic Tajikistan,1,123,848,1,mentioned in agt text,CON_62,Tajikistan,Country/State,Tajikistan,TAJ,Tajikistan,TJK,,
190,1/123,GPE,Dushanbe,1,123,848,1,mentioned in agt text,0,,,,,,,,
191,1/125,GPE,Afghanistan,1,125,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
192,1/125,GPE,Pakistan,1,125,848,1,mentioned in agt text,CON_395,Pakistan,Country/State,Pakistan,PAK,Pakistan,PAK,,
193,1/125,GPE,Iran,1,125,848,1,mentioned in agt text,CON_289,Iran (Islamic Republic of),Country/State,Iran (Islamic Republic of),IRN,Iran (Islamic Republic of),IRN,,
194,1/125,NORP,Afghans,1,125,848,1,mentioned in agt text,0,,,,,,,,
195,1/126,ORG,WAY,1,126,848,1,mentioned in agt text,0,,,,,,,0,Not an org
196,1/127,ORG,Transition,1,127,848,1,mentioned in agt text,0,,,,,,,,
197,1/127,ORG,Transformation,1,127,848,1,mentioned in agt text,0,,,,,,,,
198,1/127,GPE,Afghanistan,1,127,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
199,1/128,GPE,Afghanistan,1,128,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
200,1/128,ORG,International Community,1,128,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
201,1/130,GPE,Afghanistan,1,130,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
202,1/131,GPE,Afghanistan,1,131,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
203,1/133,ORG,International Community,1,133,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
204,1/133,GPE,Afghanistan,1,133,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
205,1/134,GPE,Afghanistan,1,134,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
206,1/134,ORG,International Community,1,134,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
207,1/136,GPE,Bonn,1,136,848,1,mentioned in agt text,0,,,,,,,,
208,1/136,GPE,Afghanistan,1,136,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
209,1/136,ORG,International Community,1,136,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
210,1/136,GPE,Petersberg,1,136,848,1,mentioned in agt text,0,,,,,,,,
211,1/137,GPE,Afghanistan,1,137,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
212,1/137,ORG,International Community,1,137,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
213,1/138,GPE,Islamic Republic Afghanistan,1,138,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
214,1/138,GPE,Republic Albania,1,138,848,1,mentioned in agt text,CON_587,Albania,Country/State,Albania,ALB,Albania,ALB,,
215,1/138,ORG,People ’s Democratic Republic Algeria,1,138,848,1,mentioned in agt text,CON_255,Algeria,Country/State,Algeria,ALG,Algeria,DZA,,
216,1/138,GPE,Argentine Republic,1,138,848,1,mentioned in agt text,CON_9,Argentina,Country/State,Argentina,ARG,Argentina,ARG,,
217,1/138,GPE,Republic Armenia,1,138,848,1,mentioned in agt text,CON_61,Armenia,Country/State,Armenia,ARM,Armenia,ARM,,
218,1/138,GPE,Australia,1,138,848,1,mentioned in agt text,CON_277,Australia,Country/State,Australia,AUL,Australia,AUS,,
219,1/138,GPE,Republic Austria,1,138,848,1,mentioned in agt text,CON_588,Austria,Country/State,Austria,AUS,Austria,AUT,,
220,1/138,GPE,Republic Azerbaijan,1,138,848,1,mentioned in agt text,CON_59,Azerbaijan,Country/State,Azerbaijan,AZE,Azerbaijan,AZE,,
221,1/138,GPE,Kingdom Bahrain,1,138,848,1,mentioned in agt text,CON_18,Bahrain,Country/State,Bahrain,BAH,Bahrain,BHR,,
222,1/138,ORG,People ’s Republic Bangladesh,1,138,848,1,mentioned in agt text,CON_287,Bangladesh,Country/State,Bangladesh,BNG,Bangladesh,BGD,,
223,1/138,GPE,Kingdom Belgium,1,138,848,1,mentioned in agt text,CON_441,Belgium,Country/State,Belgium,BEL,Belgium,BEL,,
224,1/138,GPE,Bosnia Herzegovina,1,138,848,1,mentioned in agt text,CON_0,Bosnia and Herzegovina,Country/State,Bosnia and Herzegovina,BOS,Bosnia and Herzegovina,BIH,,
225,1/138,GPE,Federative Republic Brazil,1,138,848,1,mentioned in agt text,CON_15,Brazil,Country/State,Brazil,BRA,Brazil,BRA,,
226,1/138,GPE,Brunei Darussalam,1,138,848,1,mentioned in agt text,CON_292,Brunei,Country/State,Brunei,BRU,Brunei Darussalam,BRN,,
227,1/138,GPE,Republic Bulgaria,1,138,848,1,mentioned in agt text,CON_589,Bulgaria,Country/State,Bulgaria,BUL,Bulgaria,BGR,,
228,1/138,GPE,Canada,1,138,848,1,mentioned in agt text,CON_11,Canada,Country/State,Canada,CAN,Canada,CAN,,
229,1/138,ORG,People ’s Republic China,1,138,848,1,mentioned in agt text,CON_20,China,Country/State,China,CHN,China,CHN,,
230,1/138,GPE,Republic Colombia,1,138,848,1,mentioned in agt text,CON_181,Colombia,Country/State,Colombia,COL,Colombia,COL,,
231,1/138,GPE,Republic Croatia,1,138,848,1,mentioned in agt text,CON_1,Croatia,Country/State,Croatia,CRO,Croatia,HRV,,
232,1/138,GPE,Republic Cyprus,1,138,848,1,mentioned in agt text,0,,,,,,,,
233,1/138,GPE,Czech Republic,1,138,848,1,mentioned in agt text,CON_637,Czechia,Country/State,Czechia,CZR,Czechia,CZE,,
234,1/138,GPE,Kingdom Denmark,1,138,848,1,mentioned in agt text,CON_604,Denmark,Country/State,Denmark,DEN,Denmark,DNK,,
235,1/138,GPE,Arab Republic Egypt,1,138,848,1,mentioned in agt text,CON_82,Egypt,Country/State,Egypt,EGY,Egypt,EGY,,
236,1/138,GPE,Republic El Salvador,1,138,848,1,mentioned in agt text,CON_300,El Salvador,Country/State,El Salvador,SAL,El Salvador,SLV,,
237,1/138,GPE,Republic Estonia,1,138,848,1,mentioned in agt text,CON_605,Estonia,Country/State,Estonia,EST,Estonia,EST,,
238,1/138,GPE,Republic Finland,1,138,848,1,mentioned in agt text,CON_171,Finland,Country/State,Finland,FIN,Finland,FIN,,
239,1/138,GPE,French Republic,1,138,848,1,mentioned in agt text,CON_7,France,Country/State,France,FRN,France,FRA,,
240,1/138,GPE,Georgia,1,138,848,1,mentioned in agt text,CON_45,Georgia,Country/State,Georgia,GRG,Georgia,GEO,,
241,1/138,GPE,Federal Republic Germany,1,138,848,1,mentioned in agt text,CON_2,Germany,Country/State,Germany,GMY,Germany,DEU,,
242,1/138,GPE,Hellenic Republic,1,138,848,1,mentioned in agt text,0,,,,,,,,
243,1/138,GPE,Republic Hungary,1,138,848,1,mentioned in agt text,CON_602,Hungary,Country/State,Hungary,HUN,Hungary,HUN,,
244,1/138,GPE,Republic Iceland,1,138,848,1,mentioned in agt text,CON_601,Iceland,Country/State,Iceland,ICE,Iceland,ISL,,
245,1/138,GPE,Republic India,1,138,848,1,mentioned in agt text,CON_70,India,Country/State,India,IND,India,IND,,
246,1/138,GPE,Republic Indonesia,1,138,848,1,mentioned in agt text,CON_162,Indonesia,Country/State,Indonesia,INS,Indonesia,IDN,,
247,1/138,GPE,Islamic Republic Iran,1,138,848,1,mentioned in agt text,CON_289,Iran (Islamic Republic of),Country/State,Iran (Islamic Republic of),IRN,Iran (Islamic Republic of),IRN,,
248,1/138,GPE,Republic Iraq,1,138,848,1,mentioned in agt text,CON_75,Iraq,Country/State,Iraq,IRQ,Iraq,IRQ,,
249,1/138,GPE,Ireland,1,138,848,1,mentioned in agt text,CON_169,Ireland,Country/State,Ireland,IRE,Ireland,IRL,,
250,1/138,GPE,Republic Italy,1,138,848,1,mentioned in agt text,CON_139,Italy,Country/State,Italy,ITA,Italy,ITA,,
251,1/138,GPE,Japan,1,138,848,1,mentioned in agt text,CON_294,Japan,Country/State,Japan,JPN,Japan,JPN,,
252,1/138,GPE,Hashemite Kingdom,1,138,848,1,mentioned in agt text,0,,,,,,,,
253,1/138,GPE,Jordan,1,138,848,1,mentioned in agt text,CON_78,Jordan,Country/State,Jordan,JOR,Jordan,JOR,,
254,1/138,GPE,Republic Kazakhstan,1,138,848,1,mentioned in agt text,CON_56,Kazakhstan,Country/State,Kazakhstan,KZK,Kazakhstan,KAZ,,
255,1/138,GPE,Republic Korea,1,138,848,1,mentioned in agt text,CON_458,South Korea,Country/State,South Korea,ROK,"Korea, Republic of",KOR,,
256,1/138,GPE,State Kuwait,1,138,848,1,mentioned in agt text,CON_563,Kuwait,Country/State,Kuwait,KUW,Kuwait,KWT,,
257,1/138,GPE,Kyrgyz Republic,1,138,848,1,mentioned in agt text,CON_55,Kyrgyzstan,Country/State,Kyrgyzstan,KYR,Kyrgyzstan,KGZ,,
258,1/138,GPE,Republic Latvia,1,138,848,1,mentioned in agt text,CON_615,Latvia,Country/State,Latvia,LAT,Latvia,LVA,,
259,1/138,GPE,Lebanese Republic,1,138,848,1,mentioned in agt text,CON_79,Lebanon,Country/State,Lebanon,LEB,Lebanon,LBN,,
260,1/138,GPE,Liechtenstein,1,138,848,1,mentioned in agt text,CON_613,Liechtenstein,Country/State,Liechtenstein,,Liechtenstein,LIE,,
261,1/138,GPE,Republic Lithuania,1,138,848,1,mentioned in agt text,CON_612,Lithuania,Country/State,Lithuania,LIT,Lithuania,LTU,,
262,1/138,ORG,Grand Duchy,1,138,848,1,mentioned in agt text,0,,,,,,,,
263,1/138,GPE,Luxembourg,1,138,848,1,mentioned in agt text,CON_611,Luxembourg,Country/State,Luxembourg,LUX,Luxembourg,LUX,,
264,1/138,GPE,Yugoslav Republic Macedonia,1,138,848,1,mentioned in agt text,CON_22,Yugoslavia,Country/State,Yugoslavia,YUG,,YUG,,
265,1/138,GPE,Malaysia,1,138,848,1,mentioned in agt text,CON_12,Malaysia,Country/State,Malaysia,MAL,Malaysia,MYS,,
266,1/138,GPE,Republic Malta,1,138,848,1,mentioned in agt text,CON_614,Malta,Country/State,Malta,MLT,Malta,MLT,,
267,1/138,GPE,United Mexican States,1,138,848,1,mentioned in agt text,CON_268,Mexico,Country/State,Mexico,MEX,Mexico,MEX,,
268,1/138,GPE,Mongolia,1,138,848,1,mentioned in agt text,CON_608,Mongolia,Country/State,Mongolia,MON,Mongolia,MNG,,
269,1/138,GPE,Montenegro,1,138,848,1,mentioned in agt text,CON_607,Montenegro,Country/State,Montenegro,MNG,Montenegro,MNE,,
270,1/138,GPE,Kingdom Morocco,1,138,848,1,mentioned in agt text,CON_228,Morocco,Country/State,Morocco,MOR,Morocco,MAR,,
271,1/138,GPE,Kingdom Netherlands,1,138,848,1,mentioned in agt text,CON_10,Netherlands,Country/State,Netherlands,NTH,Netherlands,NLD,,
272,1/138,GPE,New Zealand,1,138,848,1,mentioned in agt text,CON_276,New Zealand,Country/State,New Zealand,NEW,New Zealand,NZL,,
273,1/138,GPE,Kingdom Norway,1,138,848,1,mentioned in agt text,CON_81,Norway,Country/State,Norway,NOR,Norway,NOR,,
274,1/138,GPE,Oman,1,138,848,1,mentioned in agt text,CON_606,Oman,Country/State,Oman,OMA,Oman,OMN,,
275,1/138,GPE,Republic,1,138,848,1,mentioned in agt text,0,,,,,,,,
276,1/138,GPE,Philippines,1,138,848,1,mentioned in agt text,CON_160,Philippines,Country/State,Philippines,PHI,Philippines,PHL,,
277,1/138,GPE,Republic Poland,1,138,848,1,mentioned in agt text,CON_603,Poland,Country/State,Poland,POL,Poland,POL,,
278,1/138,GPE,Portuguese Republic,1,138,848,1,mentioned in agt text,CON_259,Portugal,Country/State,Portugal,POR,Portugal,PRT,,
279,1/138,GPE,Qatar,1,138,848,1,mentioned in agt text,CON_486,Qatar,Country/State,Qatar,QAT,Qatar,QAT,,
280,1/138,GPE,Romania,1,138,848,1,mentioned in agt text,CON_394,Romania,Country/State,Romania,,Romania,ROU,,
281,1/138,GPE,Russian Federation,1,138,848,1,mentioned in agt text,CON_21,Russia,Country/State,Russia,RUS,Russian Federation,RUS,,
282,1/138,GPE,Kingdom Saudi Arabia,1,138,848,1,mentioned in agt text,CON_419,Saudi Arabia,Country/State,Saudi Arabia,SAU,Saudi Arabia,SAU,,
283,1/138,GPE,Slovak Republic,1,138,848,1,mentioned in agt text,CON_592,Slovakia,Country/State,Slovakia,SLO,Slovakia,SVK,,
284,1/138,GPE,Republic Slovenia,1,138,848,1,mentioned in agt text,CON_14,Slovenia,Country/State,Slovenia,SLV,Slovenia,SVN,,
285,1/138,GPE,Republic South Africa,1,138,848,1,mentioned in agt text,CON_221,South Africa,Country/State,South Africa,SAF,South Africa,ZAF,,
286,1/138,GPE,Kingdom Spain,1,138,848,1,mentioned in agt text,CON_4,Spain,Country/State,Spain,SPN,Spain,ESP,,
287,1/138,GPE,Kingdom Sweden,1,138,848,1,mentioned in agt text,CON_593,Sweden,Country/State,Sweden,SWD,Sweden,SWE,,
288,1/138,ORG,Swiss Confederation,1,138,848,1,mentioned in agt text,CON_202,Switzerland,Country/State,Switzerland,SWZ,Switzerland,CHE,,
289,1/138,GPE,Republic Tajikistan,1,138,848,1,mentioned in agt text,CON_62,Tajikistan,Country/State,Tajikistan,TAJ,Tajikistan,TJK,,
290,1/138,GPE,Kingdom Thailand,1,138,848,1,mentioned in agt text,CON_295,Thailand,Country/State,Thailand,THI,Thailand,THA,,
291,1/138,GPE,Republic Tunisia,1,138,848,1,mentioned in agt text,CON_590,Tunisia,Country/State,Tunisia,TUN,Tunisia,TUN,,
292,1/138,GPE,Republic Turkey,1,138,848,1,mentioned in agt text,CON_562,Turkey,Country/State,Turkey,TUR,Turkey,TUR,,
293,1/138,GPE,Turkmenistan,1,138,848,1,mentioned in agt text,CON_57,Turkmenistan,Country/State,Turkmenistan,TKM,Turkmenistan,TKM,,
294,1/138,GPE,Ukraine,1,138,848,1,mentioned in agt text,CON_52,Ukraine,Country/State,Ukraine,UKR,Ukraine,UKR,,
295,1/138,GPE,Oriental Republic Uruguay,1,138,848,1,mentioned in agt text,CON_594,Uruguay,Country/State,Uruguay,URU,Uruguay,URY,,
296,1/138,GPE,United Kingdom Great Britain,1,138,848,1,mentioned in agt text,CON_19,United Kingdom,Country/State,United Kingdom,UKG,United Kingdom of Great Britain and Northern Ireland,GBR,,
297,1/138,GPE,Northern Ireland,1,138,848,1,mentioned in agt text,ENT_170,Northern Ireland,Entity,Northern Ireland,,United Kingdom of Great Britain and Northern Ireland,GBR,,
298,1/138,GPE,United Arab Emirates,1,138,848,1,mentioned in agt text,CON_591,United Arab Emirates,Country/State,United Arab Emirates,UAE,United Arab Emirates,ARE,,
299,1/138,GPE,United States America,1,138,848,1,mentioned in agt text,CON_3,United States,Country/State,United States,USA,United States of America,USA,,
300,1/138,GPE,Republic Uzbekistan,1,138,848,1,mentioned in agt text,CON_54,Uzbekistan,Country/State,Uzbekistan,UZB,Uzbekistan,UZB,,
301,1/138,GPE,Socialist Republic Viet Nam,1,138,848,1,mentioned in agt text,CON_297,Vietnam,Country/State,Vietnam,RVN,Viet Nam,VNM,,
302,1/138,ORG,Asian Development Bank,1,138,848,1,mentioned in agt text,IGO_600,Asian Development Bank,Intergovernmental Organization,Asian Development Bank,ADB,,,,
303,1/138,ORG,Conference Interaction Confidence‐Building Measures,1,138,848,1,mentioned in agt text,0,,,,,,,,
304,1/138,LOC,Asia,1,138,848,1,mentioned in agt text,0,,,,,,,,
305,1/138,ORG,Collective Security Treaty Organisation,1,138,848,1,mentioned in agt text,IGO_598,Collective Security Treaty Organization,Intergovernmental Organization,Collective Security Treaty Organization,CSTO,,,,
306,1/138,ORG,Economic Cooperation Organization,1,138,848,1,mentioned in agt text,IGO_597,Economic Cooperation Organization,Intergovernmental Organization,Economic Cooperation Organization,ECO,,,,
307,1/138,ORG,European Union,1,138,848,1,mentioned in agt text,IGO_5,European Union,Intergovernmental Organization,European Union,EU,,,,
308,1/138,ORG,International Monetary Fund,1,138,848,1,mentioned in agt text,IGO_438,International Monetary Fund,Intergovernmental Organization,International Monetary Fund,IMF,,,,
309,1/138,ORG,Islamic Development Bank,1,138,848,1,mentioned in agt text,IGO_596,Islamic Development Bank,Intergovernmental Organization,Islamic Development Bank,ISDB,,,,
310,1/138,ORG,North Atlantic Treaty Organization,1,138,848,1,mentioned in agt text,IGO_406,North Atlantic Treaty Organization,Intergovernmental Organization,North Atlantic Treaty Organization,NATO,,,,
311,1/138,ORG,Organisation Islamic Cooperation,1,138,848,1,mentioned in agt text,IGO_226,Organisation of Islamic Cooperation,Intergovernmental Organization,Organisation of Islamic Cooperation,OIC,,,,
312,1/138,ORG,Organization Security Co‐operation,1,138,848,1,mentioned in agt text,IGO_50,Organization for Security and Cooperation in Europe,Intergovernmental Organization,Organization for Security and Cooperation in Europe,OSCE,,,,
313,1/138,LOC,Europe,1,138,848,1,mentioned in agt text,0,,,,,,,,
314,1/138,ORG,South Asian Association Regional Cooperation,1,138,848,1,mentioned in agt text,IGO_1096,South Asian Association for Regional Cooperation,Intergovernmental Organization,,SAARC,,,,
315,1/138,ORG,Shanghai Cooperation Organisation,1,138,848,1,mentioned in agt text,IGO_586,Shanghai Cooperation Organization,Intergovernmental Organization,Shanghai Cooperation Organization,SCO,,,,
316,1/138,ORG,United Nations,1,138,848,1,mentioned in agt text,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
317,1/138,ORG,World Bank Group,1,138,848,1,mentioned in agt text,IGO_437,World Bank,Intergovernmental Organization,World Bank,WB,,,,
